Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,0.108885138044438,0.0585567936495662,-0.142308649679038,0,0,0,5.32485366509137,0.0219378727233069,-4.01751561825009E-06,-1.47975198134055E-06,0.023203020823872,-7.80337093935826E-06,0.0149047739346839,0,0,0,0,0,0,package://051411/meshes/Body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://051411/meshes/Body.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0666875210853818,-0.0256174029954353,0.0272583251967585,0,0,0,0.26437001106024,3.20746276473133E-05,-1.44118283521332E-07,-6.30853084344598E-08,6.22704126338855E-05,-2.01894652764198E-07,6.28519936954E-05,0,0,0,0,0,0,package://051411/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://051411/meshes/LFS.STL,,Suspensionsystem-1,Origin_LFS,Axis_LFS,LFS,prismatic,0.31516,0.050812,0.026427,2.834,0,3.1416,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LFW,-0.012315724574073,0,3.46944695195361E-18,0,0,0,0.193585420779862,0.000253081141332254,-2.20697783538624E-23,8.87721135180224E-22,0.000136818598566517,0,0.000136818598566517,0,0,0,0,0,0,package://051411/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://051411/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0.00041099,-0.047479,0.052309,-1.8707,0,3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.0724473276378503,-0.0316832521314762,0.0253402400459297,0,0,0,0.26437001106024,3.20746276473134E-05,1.44118283521343E-07,6.30853084344513E-08,6.22704126338856E-05,-2.018946527642E-07,6.28519936954001E-05,0,0,0,0,0,0,package://051411/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://051411/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.10492,0.012128,0.026427,2.834,0,0,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RFW,-0.012315724574073,-3.46944695195361E-18,6.93889390390723E-18,0,0,0,0.193585420779862,0.000253081141332253,1.52152873461367E-21,2.90805277918717E-21,0.000136818598566517,-1.6940658945086E-20,0.000136818598566517,0,0,0,0,0,0,package://051411/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://051411/meshes/RFW.STL,,wheel-3,Origin_RFW,Axis_RFW,RFW,continuous,0.0061708,-0.028286,0.058405,-0.70714,0,3.1416,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.0754022136877308,-0.0206011352566475,0.0126264314730576,0,0,0,0.197009126147877,1.68802738687172E-05,-4.80660454962433E-21,2.20351163892655E-20,5.02184885667569E-05,1.0508875929185E-06,4.72447473350486E-05,0,0,0,0,0,0,package://051411/meshes/LBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://051411/meshes/LBS.STL,,suspensioncastle-1,Origin_LBS,Axis_LBS,LBS,prismatic,0.31516,0.23081,0.01777,2.834,0,3.1416,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LBC,0.000464526735875048,-0.0408313152633741,-2.77555756156289E-17,0,0,0,0.0433962459602619,2.1180042472488E-05,5.53822046363832E-07,-7.94093388050907E-23,1.76453344713605E-06,-5.89821135780936E-21,2.14947085785555E-05,0,0,0,0,0,0,package://051411/meshes/LBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://051411/meshes/LBC.STL,,CastleCatcher_small_wheel-3,Origin_LBC,Axis_LBC,LBC,continuous,0.041161,-0.016816,0.00071326,-1.8784,-0.0013926,3.1372,LBS,0,1,0,,,,,,,,,,,,
LBW,0.00647305835345524,0,0,0,0,0,0.0368891747697499,1.67269024516251E-05,-6.05909798695093E-22,6.3097337125545E-21,8.87926239042531E-06,-3.17637355220363E-22,8.87926239042531E-06,0,0,0,0,0,0,package://051411/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://051411/meshes/LBW.STL,,wheel_small-2,Origin_LBW,Axis_LBW,LBW,continuous,0.0095003,-0.068304,0,-2.9662,0,0,LBC,1,0,0,3.1,7,,,,,,,,,,
RBS,0.0754022136877307,-0.0206011352566388,0.0126264314730556,0,0,0,0.197009126147877,1.68802738687172E-05,1.02895547362818E-20,-2.43496363718604E-20,5.0218488566757E-05,1.0508875929185E-06,4.72447473350487E-05,0,0,0,0,0,0,package://051411/meshes/RBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://051411/meshes/RBS.STL,,suspensioncastle-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.099161,0.19919,0.01777,2.834,0,0,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RBC,0.000464526735875062,-0.0408313152633741,0,0,0,0,0.0433962459602619,2.1180042472488E-05,5.53822046363839E-07,-2.7069360738408E-22,1.76453344713605E-06,-3.31023923512817E-21,2.14947085785555E-05,0,0,0,0,0,0,package://051411/meshes/RBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://051411/meshes/RBC.STL,,CastleCatcher_small_wheel-4,Origin_RBC,Axis_RBC,RBC,continuous,0.041161,-0.016816,0.00071326,-1.8784,0,3.1416,RBS,0,1,0,,,,,,,,,,,,
